1,2,64.2819,13.4061,77.688,189.972,63.4752,19.8746,83.3498,194.268,64.8584,26.6348,91.4932,181.959,64.8264,36.0767,100.903,184.348,65.0046,42.8209,107.826,181.814,66.1732,50.7715,116.945,188.913,66.5693,60.4437,127.013,191.517,65.0929,64.2912,129.384,182.695,65.2991,72.5326,137.832,183.955,68.3123,81.7927,150.105,196.25,66.8427,88.6051,155.448,187.533,68.55,99.7064,168.256,196.583,67.682,105.743,173.425,197.774,66.87,113.446,180.316,193.49,67.9354,123.504,191.439,199.034,66.9903,124.852,191.842,190.37,
1,2,62.3906,12.9069,75.2975,185.83,62.2522,20.2029,82.4551,192.226,62.8969,26.3555,89.2524,180.322,63.0617,35.3192,98.3809,180.782,63.9156,42.5503,106.466,183.107,63.9984,49.4524,113.451,181.701,65.0879,59.5757,124.664,186.257,66.3927,67.4161,133.809,190.632,64.9953,73.3058,138.301,187.907,62.8198,76.2241,139.044,182.495,64.3626,88.7534,153.116,187.713,65.3987,97.8748,163.273,192.411,64.0659,100.249,164.315,188.909,66.8346,116.869,183.704,198.863,66.3694,123.014,189.384,195.782,65.6953,125,190.695,192.683,
2,4,68.5454,12.7234,81.2688,183.209,68.7348,18.6766,87.4115,191.833,72.6288,25.6226,98.2514,188.781,70.6396,33.3363,103.976,186.91,71.7639,38.4741,110.238,181.226,72.055,44.0618,116.117,175.805,70.8342,54.2939,125.128,184.163,71.8626,57.5628,129.425,178.985,71.8106,68.1919,140.003,190.634,72.6216,70.0455,142.667,180.824,71.5053,78.0508,149.556,178.294,71.5012,88.0384,159.54,185.103,70.4199,88.2786,158.699,180.054,71.2551,98.1053,169.36,182.706,71.1531,108.069,179.222,183.954,70.819,111.085,181.904,181.141,
3,5,73.3325,11.4328,84.7652,181.733,72.8758,17.6707,90.5465,190.003,75.2833,23.5191,98.8025,177.504,75.1456,32.945,108.091,183.602,75.6355,36.9635,112.599,180.782,76.1716,43.1611,119.333,178.056,73.5452,51.4869,125.032,179.383,77.3223,58.4772,135.8,184.349,74.8106,64.0128,138.823,181.223,74.6811,68.2054,142.886,181.263,74.1659,78.9352,153.101,181.926,74.4694,84.0029,158.472,181.898,74.0393,86.8121,160.851,183.394,74.3073,95.3876,169.695,180.063,75.6877,106.047,181.735,187.134,76.2858,108.264,184.55,185.663,
4,6,68.7129,12.3554,81.0683,175.729,70.0674,18.2266,88.2941,188.467,70.6174,23.1952,93.8126,174.744,69.4143,30.5698,99.9841,171.216,69.1528,38.0102,107.163,173.493,71.3538,44.7525,116.106,181.631,69.9551,50.5771,120.532,172.13,70.7296,58.0118,128.741,181.938,69.4585,62.9077,132.366,176.971,72.498,68.2953,140.793,176.671,69.5358,75.7785,145.314,175.58,69.199,79.5936,148.793,174.405,70.642,85.5803,156.222,175.385,70.9616,93.1161,164.078,176.013,71.2076,99.9827,171.19,177.314,70.7293,105.582,176.312,175.515,
5,7,72.5069,11.6618,84.1687,174.256,71.9047,17.3976,89.3022,184.277,72.9997,22.0892,95.0889,173.387,75.0335,30.7557,105.789,178.974,73.2247,35.3093,108.534,175.903,73.6787,41.2617,114.94,175.768,73.1647,47.9105,121.075,170.851,72.0955,52.3705,124.466,168.727,73.4956,60.6706,134.166,174.735,74.6947,64.5919,139.287,175.642,72.7982,74.4661,147.264,177.096,74.083,78.5912,152.674,177.627,73.4328,81.5546,154.987,172.467,72.6188,88.8237,161.443,172.912,74.9892,97.1341,172.123,176.291,74.2287,100.259,174.487,172.785,
6,8,77.8468,9.92521,87.772,168.956,79.0985,16.7904,95.8889,184.459,78.7,20.6295,99.3295,170.836,80.2935,31.6296,111.923,179.446,78.831,32.5678,111.399,172.919,79.071,38.1267,117.198,169.752,78.4136,44.5424,122.956,171.759,77.7328,48.9089,126.642,167.117,80.6385,56.6855,137.324,175.488,79.9736,59.4299,139.404,175.016,77.4114,67.1327,144.544,171.414,79.1199,73.2028,152.323,175.531,80.1065,75.6783,155.785,173.116,77.4863,82.5878,160.074,170.046,79.6567,90.2531,169.91,175.833,78.4583,92.0069,170.465,169.434,
7,9,81.7743,9.81527,91.5895,169.332,83.4345,15.8307,99.2652,187.048,83.0586,20.8044,103.863,175.858,81.6777,26.4039,108.082,167.686,84.2426,33.5673,117.81,178.579,82.4798,36.8684,119.348,174.199,81.9837,42.9557,124.939,168.603,81.1446,47.6564,128.801,167.726,85.6408,57.9339,143.575,182.645,82.3136,56.6431,138.957,170.667,82.4116,65.4304,147.842,171.099,81.8306,69.2327,151.063,171.441,81.2754,71.1106,152.386,169.805,81.3931,79.0015,160.395,169.995,81.7582,85.0576,166.816,172.278,81.0882,88.2918,169.38,171,
8,9,73.2183,9.51244,82.7308,160.882,74.5025,15.079,89.5815,176.111,74.5254,19.6314,94.1568,162.224,74.6612,26.3141,100.975,164.472,74.1709,31.3022,105.473,163.97,74.0379,36.2122,110.25,162.136,74.8349,45.634,120.469,167.753,74.3826,47.8847,122.267,159.966,74.2332,52.9389,127.172,164.151,73.8621,55.3741,129.236,162.022,74.9144,64.3956,139.31,164.694,75.4512,68.7723,144.223,161.723,76.0218,73.7744,149.796,166.718,75.5295,80.1523,155.682,164.388,75.5419,84.089,159.631,166.01,74.6275,88.2198,162.847,164.86,
9,10,77.1934,9.25245,86.4458,162.297,77.889,14.5096,92.3986,171.223,77.3623,18.8332,96.1955,163.025,77.0426,25.3381,102.381,162.662,79.7066,30.9212,110.628,167.386,77.7089,34.1445,111.853,162.993,79.7407,42.6452,122.386,167.171,77.8513,46.5233,124.375,163.204,78.6194,51.226,129.845,163.87,78.9919,54.3763,133.368,164.928,77.7637,60.7301,138.494,163.97,77.4931,65.3638,142.857,163.668,78.2676,69.4225,147.69,164.218,77.754,77.2204,154.974,164.911,78.9999,82.548,161.548,168.489,78.9081,88.4223,167.33,166.867,
